listingId,title,price,area_sqft,bhk,bathrooms,parking,location,city,latitude,longitude,floor_number,total_floors,furnishing,facing,age_years,possession_category,possession_date,is_under_construction,project_name,posted_date,propertyType,saleTag,data_source
20775106,2 BHK Flat,13000000.0,1100.0,2.0,2,2,"Gandhi Bazaar, Basavanagudi",Bengaluru,12.9459,77.570729,1.0,4.0,Semi Furnished,Unknown,20.0,Ready to Move,,False,,2026-07-25,resale,Resale,Real
20826641,2 BHK Flat,18500000.0,1250.0,2.0,2,1,"Gandhi Nagar, Munnekollal",Bengaluru,12.95549,77.710814,7.0,9.0,Semi Furnished,West,15.0,Ready to Move,,False,Mangalya Suryodaya Apartments,2026-08-01,resale,Resale,Real
20160352,3 BHK Flat,28000000.0,1660.0,3.0,3,1,"7th Phase, JP Nagar",Bengaluru,12.89308,77.579529,5.0,20.0,Semi Furnished,South,13.0,Ready to Move,,False,Elita Promenade,2026-09-06,resale,Resale,Real
20029196,3 BHK Flat,28500000.0,1804.0,3.0,3,2,"Balagere, Bengaluru",Bengaluru,12.9358,77.723503,17.0,17.0,Unfurnished,North,2.0,Ready to Move,,False,Sobha Sentosa,2026-09-16,resale,Resale,Real
21015316,2 BHK Flat,14100000.0,1221.0,2.0,2,1,"Phase I, Electronic City",Bengaluru,12.834552,77.663757,5.0,18.0,Unfurnished,East,9.0,Ready to Move,,False,Prestige Sunrise Park,2026-08-30,resale,Resale,Real
21128568,2 BHK Flat,9000000.0,1003.0,2.0,2,3,"Madagondanahalli, Electronic City",Bengaluru,12.827132,77.654594,5.0,7.0,Semi Furnished,North,6.0,Ready to Move,,False,Jhanavi Capetown Heights,2026-09-16,resale,Resale,Real
21004070,4 BHK Flat,33000000.0,1900.0,4.0,4,2,"Anchepalya, Bengaluru",Bengaluru,13.05326,77.487991,12.0,30.0,Semi Furnished,East,3.0,Ready to Move,,False,Prestige Jindal City,2026-08-27,resale,Resale,Real
20837227,3 BHK Flat,8800000.0,1043.0,3.0,2,1,"Gummanahalli, Bengaluru",Bengaluru,13.144195,77.68438,13.0,21.0,Unfurnished,East,,Upcoming,2026-12-01,True,Brigade Emerald And Luminaire Block At Brigade El Dorado,2026-08-03,resale,Resale,Real
20901927,2 BHK Flat,13500000.0,480.0,2.0,1,1,"Someshwara Layout, Doddakannelli",Bengaluru,12.904917,77.694984,4.0,14.0,Semi Furnished,East,1.0,Ready to Move,,False,,2026-08-12,resale,Resale,Real
20944080,3 BHK Flat,26000000.0,1520.0,3.0,3,1,"Varthur, Bengaluru",Bengaluru,12.933015,77.743301,18.0,23.0,Semi Furnished,West,5.0,Ready to Move,,False,Candeur Signature,2026-08-18,resale,Resale,Real
20910449,2 BHK Flat,13500000.0,1225.0,2.0,2,1,"Janatha Colony, Carmelaram",Bengaluru,12.905896,77.705956,0.0,10.0,Semi Furnished,East,6.0,Ready to Move,,False,Corporate Arcadia,2026-08-13,resale,Resale,Real
20080234,2 BHK Flat,16500000.0,1104.0,2.0,2,1,"Ramanjaneyanagar, Chikkalasandra",Bengaluru,12.913675,77.545877,1.0,25.0,Unfurnished,West,1.0,Ready to Move,,False,,2026-08-21,resale,Resale,Real
20651812,2.5 BHK Flat,12500000.0,1065.0,2.5,2,1,"Phase I, Electronic City",Bengaluru,12.84411,77.666817,6.0,14.0,Unfurnished,Unknown,3.0,Ready to Move,,False,SNN Raj High Gardens,2026-09-09,resale,Resale,Real
